ref,value
ADC1,PCM1807
C1,100nF
C2,180nF
C3,180nF
C4,180nF
C5,180nF
C6,10uF
C7,10nF
C8,10uF
C9,1uF
C10,0.1uF
C11,80nF
C12,1uF
C13,80nF
C14,10uF
C15,10uF
C16,0.1uF
C17,0.1uF
C18,0.1uF
C19,0.1uF
C20,10uF
C21,0.1uF
C22,0.1uF
C23,10uF
C24,1.5nF
C25,1.5nF
DAC1,MAX5556
ETH1,ETHERNET_MAGNETICS
GS1,GS2
J1,JACK_ST_3SW
J2,JACK_ST_3SW
J3,JACK_ST_3SW
J4,JACK_ST_3SW
JP1,JUMPER
JP2,JUMPER
JP3,JUMPER
JP4,JUMPER
L1,INDUCTOR_SMALL
P1,CONN_2
P2,CONN_2
PAP1,PAPILIO_WINGS
PAP2,PAPILIO_WINGS
PLL1,PLL1705
R1,49.9, 1%
R2,49.9, 1%
R3,180R
R4,2.32k, 1%
R5,49.9, 1%
R6,49.9, 1%
R7,180R
R8,100R
R9,100R
R10,560R
R11,100k
R12,560R
R13,100k
U1,ENC28J60
